pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,order_count,avg_trip_miles,avg_trip_time_min,avg_base_passenger_fare,avg_fare_per_mile,avg_driver_pay,avg_driver_pay_per_minute,avg_response_time_min
Central Harlem North,Westchester Village/Unionport,Manhattan,Bronx,1,8.56,23.833333333333332,19.13,2.234813084112149,17.08,0.7166433566433567,4.266666666666667
Central Harlem North,Williamsbridge/Olinville,Manhattan,Bronx,2,10.76,32.5,21.284999999999997,2.0972914404653027,29.025,0.9142274116106504,3.466666666666667
Central Harlem North,Yorkville West,Manhattan,Manhattan,3,3.453333333333333,15.233333333333334,22.290000000000003,6.495384711692562,15.186666666666667,1.0239991619661564,4.938888888888889
Central Park,Bay Ridge,Manhattan,Brooklyn,1,14.71,34.5,39.08,2.656696125084976,47.31,1.3713043478260871,8.816666666666666
Central Park,Bensonhurst East,Manhattan,Brooklyn,1,19.77,42.55,55.45,2.8047546788062725,53.88,1.266274970622797,5.5
Central Park,Brooklyn Heights,Manhattan,Brooklyn,1,8.24,37.666666666666664,74.34,9.021844660194175,45.88,1.218053097345133,6.3
Central Park,Bushwick North,Manhattan,Brooklyn,1,8.78,36.88333333333333,48.2,5.4897494305239185,34.71,0.9410754631721645,6.833333333333333
Central Park,Central Harlem,Manhattan,Manhattan,2,1.3900000000000001,10.0,20.1,15.934709606385905,10.675,1.0574216595602912,5.191666666666666
Central Park,Central Park,Manhattan,Manhattan,1,0.98,4.05,9.38,9.571428571428573,5.12,1.2641975308641975,2.35
Central Park,Clinton East,Manhattan,Manhattan,3,1.8033333333333335,11.21111111111111,11.596666666666666,6.525509056286933,9.636666666666665,0.859067289909702,3.066666666666667
Central Park,East Chelsea,Manhattan,Manhattan,1,1.6,13.716666666666667,41.0,25.625,21.9,1.5965978128797083,3.0
Central Park,East Harlem South,Manhattan,Manhattan,1,1.53,9.483333333333333,16.08,10.509803921568626,9.11,0.9606326889279437,2.2666666666666666
Central Park,Eastchester,Manhattan,Bronx,1,12.533,30.0,50.4,4.021383547434772,35.99,1.1996666666666667,2.95
Central Park,Financial District North,Manhattan,Manhattan,1,7.96,33.166666666666664,59.85,7.518844221105528,42.48,1.2808040201005024,10.033333333333333
Central Park,Flatiron,Manhattan,Manhattan,2,4.195,27.875,31.01,8.146779016036966,28.02,0.9742317133038783,3.9250000000000003
Central Park,Greenpoint,Manhattan,Brooklyn,1,5.92,31.15,28.99,4.89695945945946,26.21,0.8414125200642055,1.5833333333333333
Central Park,Greenwich Village North,Manhattan,Manhattan,2,4.449999999999999,28.208333333333336,34.665000000000006,8.57250236709653,22.5,0.8125379631866066,2.825
Central Park,Kingsbridge Heights,Manhattan,Bronx,1,8.73,37.36666666666667,27.86,3.1912943871706756,39.78,1.064585191793042,7.216666666666667
Central Park,LaGuardia Airport,Manhattan,Queens,1,11.162,34.63333333333333,65.76,5.891417308726035,49.96,1.442540904716073,
Central Park,Lenox Hill East,Manhattan,Manhattan,1,2.77,16.516666666666666,19.08,6.888086642599277,19.23,1.1642785065590313,1.0833333333333333
Central Park,Lenox Hill West,Manhattan,Manhattan,1,2.03,15.75,17.16,8.45320197044335,17.57,1.1155555555555556,3.933333333333333
Central Park,Little Italy/NoLiTa,Manhattan,Manhattan,1,3.74,32.016666666666666,57.61,15.40374331550802,47.86,1.4948464341488807,0.7
Central Park,Lower East Side,Manhattan,Manhattan,1,6.06,24.766666666666666,31.82,5.250825082508252,22.76,0.9189771197846569,
Central Park,Midtown Center,Manhattan,Manhattan,1,2.16,19.683333333333334,39.34,18.212962962962962,20.87,1.0602878916172735,0.8333333333333334
Central Park,Midtown North,Manhattan,Manhattan,1,2.563,16.433333333333334,16.55,6.457276628950448,13.12,0.7983772819472617,
Central Park,Midtown South,Manhattan,Manhattan,3,2.1556666666666664,20.211111111111112,20.073333333333334,9.865107302856336,15.14,0.7551234338836977,
Central Park,Morningside Heights,Manhattan,Manhattan,2,2.9699999999999998,13.7,20.725,7.7301106427818755,12.165000000000001,0.8776036787588211,1.5333333333333334
Central Park,Outside of NYC,Manhattan,,5,20.797800000000002,46.07666666666667,103.78399999999999,6.258968347469123,67.32000000000001,1.4753233761321904,5.394444444444445
Central Park,Sutton Place/Turtle Bay North,Manhattan,Manhattan,2,1.77,13.958333333333334,16.145,9.444444444444445,14.605,1.09381874571748,3.075
Central Park,Times Sq/Theatre District,Manhattan,Manhattan,4,1.583,17.8625,30.3375,21.178676251938594,17.5325,1.0437371380076428,2.4833333333333334
Central Park,TriBeCa/Civic Center,Manhattan,Manhattan,1,5.18,23.633333333333333,48.0,9.266409266409267,23.33,0.9871650211565585,0.9166666666666666
Central Park,Two Bridges/Seward Park,Manhattan,Manhattan,1,4.955,20.666666666666668,20.42,4.121089808274471,19.58,0.9474193548387095,
Central Park,Upper East Side North,Manhattan,Manhattan,4,1.366,11.2,16.375,12.043527450127506,10.517499999999998,0.9272104742548092,2.5
Central Park,Upper East Side South,Manhattan,Manhattan,1,0.36,2.966666666666667,8.03,22.305555555555554,4.38,1.4764044943820225,1.7666666666666666
Central Park,Upper West Side North,Manhattan,Manhattan,2,1.5150000000000001,13.641666666666666,13.185,8.921078651685393,11.425,0.8255132815755761,4.333333333333334
