pickup_zone,hour,order_count,avg_response_time_min,p50_response_time_min,p90_response_time_min,slow_response_rate
Eastchester,18,3,4.75,2.5,8.86,0.3333333333333333
Eastchester,19,5,3.5799999999999996,2.45,6.28,0.0
Eastchester,20,6,1.7027777777777777,1.5166666666666666,2.3666666666666667,0.0
Eastchester,21,4,5.758333333333333,5.383333333333333,8.675,0.0
Eastchester,22,12,4.790277777777778,3.6083333333333334,8.43,0.0
Eastchester,23,9,5.459259259259259,3.9833333333333334,8.803333333333335,0.1111111111111111
Elmhurst,0,15,3.6566666666666667,3.283333333333333,6.316666666666666,0.0
Elmhurst,1,4,2.8000000000000003,3.283333333333333,3.916666666666667,0.0
Elmhurst,2,6,3.3722222222222222,2.408333333333333,6.608333333333333,0.0
Elmhurst,3,7,8.16904761904762,6.8,15.063333333333333,0.2857142857142857
Elmhurst,4,9,5.296296296296296,5.366666666666666,7.11,0.0
Elmhurst,5,11,4.684848484848485,4.133333333333334,7.633333333333334,0.09090909090909091
Elmhurst,6,12,3.576388888888889,3.3,6.1000000000000005,0.0
Elmhurst,7,11,6.506060606060606,6.166666666666667,10.85,0.18181818181818182
Elmhurst,8,9,2.890740740740741,2.5166666666666666,4.683333333333334,0.0
Elmhurst,9,10,2.2183333333333333,2.075,3.4333333333333322,0.0
Elmhurst,10,13,3.476923076923077,2.3666666666666667,6.530000000000002,0.07692307692307693
Elmhurst,11,7,4.166666666666666,4.133333333333334,6.41,0.0
Elmhurst,12,9,2.4981481481481485,2.283333333333333,4.036666666666667,0.0
Elmhurst,13,14,2.9119047619047618,2.375,6.083333333333336,0.0
Elmhurst,14,11,2.872727272727273,2.8,4.083333333333333,0.0
Elmhurst,15,12,3.027777777777778,2.2,4.413333333333334,0.08333333333333333
Elmhurst,16,16,2.6802083333333333,2.2,5.558333333333334,0.0
Elmhurst,17,22,3.6166666666666667,3.333333333333333,6.603333333333336,0.0
Elmhurst,18,13,4.214102564102564,2.6,7.983333333333333,0.07692307692307693
Elmhurst,19,21,5.807142857142857,3.45,10.316666666666666,0.14285714285714285
Elmhurst,20,15,3.1544444444444446,2.816666666666667,4.796666666666666,0.06666666666666667
Elmhurst,21,14,4.123809523809524,3.8666666666666667,5.268333333333334,0.07142857142857142
Elmhurst,22,20,4.231666666666667,3.5583333333333336,7.413333333333334,0.05
Elmhurst,23,15,4.65,4.933333333333334,7.14,0.0
Elmhurst/Maspeth,0,5,4.62,4.5,6.98,0.0
Elmhurst/Maspeth,1,1,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.0
Elmhurst/Maspeth,2,3,2.9722222222222228,2.85,3.6633333333333336,0.0
Elmhurst/Maspeth,3,2,5.266666666666667,5.266666666666667,6.0,0.0
Elmhurst/Maspeth,5,6,3.7055555555555557,3.3583333333333334,5.283333333333333,0.0
Elmhurst/Maspeth,6,1,3.316666666666667,3.316666666666667,3.316666666666667,0.0
Elmhurst/Maspeth,7,5,3.3733333333333335,2.6666666666666665,5.213333333333334,0.0
Elmhurst/Maspeth,8,5,4.383333333333334,2.683333333333333,7.836666666666668,0.2
Elmhurst/Maspeth,9,7,2.5595238095238098,2.066666666666667,4.583333333333334,0.0
Elmhurst/Maspeth,10,3,3.888888888888889,2.433333333333333,6.1,0.0
Elmhurst/Maspeth,11,4,5.104166666666667,2.2583333333333333,11.013333333333335,0.25
Elmhurst/Maspeth,13,3,2.433333333333333,2.0166666666666666,3.296666666666667,0.0
Elmhurst/Maspeth,14,3,5.422222222222222,4.966666666666667,8.3,0.0
Elmhurst/Maspeth,15,5,3.78,3.683333333333333,5.073333333333333,0.0
Elmhurst/Maspeth,16,5,5.8966666666666665,5.0,10.11,0.2
Elmhurst/Maspeth,17,5,3.253333333333333,2.8,4.733333333333334,0.0
Elmhurst/Maspeth,18,6,6.769444444444445,3.0166666666666666,15.133333333333333,0.3333333333333333
Elmhurst/Maspeth,19,3,4.438888888888889,4.416666666666667,5.5633333333333335,0.0
Elmhurst/Maspeth,20,3,2.2055555555555557,1.35,4.256666666666667,0.0
Elmhurst/Maspeth,21,2,2.45,2.45,3.61,0.0
Elmhurst/Maspeth,22,6,3.5888888888888886,3.55,5.875,0.0
Elmhurst/Maspeth,23,7,4.078571428571428,3.9166666666666665,5.760000000000002,0.0
Eltingville/Annadale/Prince's Bay,1,1,12.516666666666667,12.516666666666667,12.516666666666667,1.0
Eltingville/Annadale/Prince's Bay,4,1,7.55,7.55,7.55,0.0
Eltingville/Annadale/Prince's Bay,5,1,11.416666666666666,11.416666666666666,11.416666666666666,1.0
Eltingville/Annadale/Prince's Bay,7,3,2.8000000000000003,2.816666666666667,4.363333333333333,0.0
Eltingville/Annadale/Prince's Bay,8,1,4.65,4.65,4.65,0.0
Eltingville/Annadale/Prince's Bay,9,2,4.475,4.475,6.321666666666666,0.0
Eltingville/Annadale/Prince's Bay,10,1,5.233333333333333,5.233333333333333,5.233333333333333,0.0
Eltingville/Annadale/Prince's Bay,11,2,1.9083333333333332,1.9083333333333332,2.6750000000000003,0.0
Eltingville/Annadale/Prince's Bay,13,2,3.8583333333333334,3.8583333333333334,6.158333333333333,0.0
Eltingville/Annadale/Prince's Bay,15,1,3.35,3.35,3.35,0.0
Eltingville/Annadale/Prince's Bay,17,2,2.8499999999999996,2.8499999999999996,3.3166666666666664,0.0
Eltingville/Annadale/Prince's Bay,22,2,4.866666666666667,4.866666666666667,6.586666666666667,0.0
Eltingville/Annadale/Prince's Bay,23,1,12.266666666666667,12.266666666666667,12.266666666666667,1.0
Erasmus,0,6,3.1555555555555554,2.7416666666666667,4.566666666666666,0.0
Erasmus,1,1,1.5,1.5,1.5,0.0
Erasmus,2,3,1.2833333333333334,1.4833333333333334,1.5366666666666666,0.0
Erasmus,3,2,2.4416666666666664,2.4416666666666664,2.515,0.0
Erasmus,4,2,8.508333333333333,8.508333333333333,11.621666666666668,0.5
Erasmus,5,1,4.8,4.8,4.8,0.0
Erasmus,6,1,5.25,5.25,5.25,0.0
Erasmus,7,5,4.83,5.016666666666667,6.283333333333333,0.0
Erasmus,8,9,2.812962962962963,3.1333333333333333,4.316666666666666,0.0
Erasmus,9,3,2.305555555555556,2.2333333333333334,2.6333333333333333,0.0
Erasmus,10,5,4.973333333333334,3.9,8.906666666666666,0.2
Erasmus,11,6,1.9083333333333334,1.9500000000000002,2.7583333333333337,0.0
Erasmus,12,7,5.026190476190476,5.2,7.996666666666667,0.0
Erasmus,13,4,4.191666666666666,3.5583333333333336,6.883333333333334,0.0
Erasmus,14,10,5.501666666666667,6.266666666666667,7.666666666666666,0.0
Erasmus,15,4,4.9125,4.116666666666667,7.005000000000001,0.0
Erasmus,16,10,4.371666666666667,4.633333333333333,6.403333333333333,0.0
Erasmus,17,10,2.7,2.5083333333333333,4.401666666666666,0.0
Erasmus,18,7,4.304761904761905,3.716666666666667,8.020000000000001,0.0
Erasmus,19,7,5.071428571428571,2.3,10.770000000000003,0.14285714285714285
Erasmus,20,10,2.1149999999999998,2.033333333333333,2.895,0.0
Erasmus,21,7,4.192857142857143,2.55,9.05,0.14285714285714285
Erasmus,22,9,6.594444444444445,6.533333333333333,12.530000000000001,0.2222222222222222
Erasmus,23,4,4.183333333333334,3.533333333333333,6.605,0.0
Far Rockaway,0,2,4.591666666666667,4.591666666666667,6.931666666666667,0.0
Far Rockaway,1,2,3.75,3.75,4.696666666666667,0.0
Far Rockaway,3,1,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
Far Rockaway,5,4,4.629166666666666,3.1833333333333336,8.348333333333334,0.25
Far Rockaway,6,4,11.808333333333334,11.016666666666667,19.078333333333333,0.5
Far Rockaway,7,3,3.3777777777777778,2.966666666666667,4.1000000000000005,0.0
